p1,p2,p3
458,1811,1552
458,1696,1811
1235,458,1552
458,1235,1093
825,27,1093
27,825,741
27,458,1093
458,27,741
2679,2680,601
2680,48,601
659,2152,2678
659,48,2152
2679,659,2678
659,2679,601
48,659,601
1020,520,2152
520,1020,2390
2676,520,2390
1440,189,670
189,1440,1328
2450,698,1193
730,1943,864
637,1943,1327
1943,698,1327
340,253,1996
253,1592,586
1964,39,1996
39,340,1996
2124,730,827
1592,2124,827
253,2124,1592
1132,343,797
343,1132,319
923,1665,1598
653,923,1598
226,2040,774
415,480,49
480,827,49
480,1592,827
2144,1873,2105
2074,448,826
448,2074,2240
2249,538,2023
538,2249,2144
538,2144,2105
669,2240,959
1245,669,959
538,669,2023
669,1746,2023
1746,669,1245
2660,2661,762
61,2333,818
1846,1187,114
1187,1846,1015
1227,2656,2657
1778,1227,193
1227,1778,2656
288,1778,229
1846,2658,1015
2654,593,1399
1643,1003,762
1003,1466,762
1003,61,1466
2667,1115,2666
797,1745,1264
1248,2424,2296
227,1338,1306
1338,2428,966
2428,1338,227
2428,1291,966
1291,1693,1801
81,1291,1801
1240,1291,2428
817,432,2331
817,1789,432
1406,817,2331
40,2370,1687
1986,2370,40
2370,967,1687
1578,2376,1589
2112,618,1589
618,2112,1789
618,1578,1589
1578,618,2048
1065,1098,274
1098,1065,325
726,328,504
821,288,229
512,821,229
1938,1646,2113
1779,1938,2113
265,952,1301
952,1248,1301
1329,211,1978
211,1329,613
1241,2348,1995
680,989,820
989,680,2373
358,168,1821
438,1192,1095
1821,438,1095
168,438,1821
1863,558,1316
558,1863,8
1863,1316,2047
92,431,878
1316,646,1562
646,709,1562
168,646,1316
709,646,1975
646,358,1975
646,168,358
476,2334,1253
2334,476,357
709,805,1562
805,1802,1562
2133,1445,94
1445,2133,756
1623,1145,92
1623,742,94
1623,92,742
1445,1623,94
1623,1445,1145
1145,839,92
1761,92,878
92,1761,742
2318,796,1411
1148,2318,1411
1543,1148,1995
2348,1543,1995
2133,1543,756
1543,2348,756
2071,958,796
2071,1543,2133
2300,1043,2191
937,2300,1117
1203,2300,2191
2300,1203,2700
1117,2300,2700
454,1461,72
1461,1411,1756
72,1461,1756
1411,1461,1577
1461,454,1577
1609,301,1043
301,1609,1933
1609,72,1933
1609,454,72
971,2133,1759
971,30,2133
971,1759,149
2378,791,1942
2161,1636,742
1761,2161,742
2161,1761,2232
958,1988,1603
103,1393,2405
2405,1393,1801
1799,103,432
2112,1799,432
1799,1393,103
2641,1418,2640
1557,2641,2642
2641,1557,1418
1418,1557,639
1045,2238,954
2238,1456,954
641,1779,2113
997,1391,1695
997,1045,954
1456,963,954
963,338,954
338,963,102
1789,19,1146
1504,19,1789
93,1504,634
409,2644,1138
2643,2644,1776
2644,409,1776
2649,132,1685
2648,2649,1685
132,2649,901
901,2649,2650
1252,1255,947
1252,169,867
1252,947,2032
169,1252,2032
183,2407,888
2407,1201,888
231,169,2032
1201,2477,2480
2477,231,2480
231,2477,169
2407,2477,1201
169,2477,1033
2477,183,1033
2477,2407,183
1669,2225,892
2225,1669,695
2060,2218,354
2218,2060,1814
1360,1217,1582
1360,272,598
1360,760,272
1255,1858,1084
1858,2051,1084
1940,316,789
2632,1940,2631
450,2278,1750
740,2278,484
740,582,1558
740,484,582
276,740,1558
2278,740,276
484,1473,1752
1644,776,2160
776,1644,1794
2160,776,1716
776,1794,1716
648,1614,533
1614,648,1644
2219,648,533
1644,648,1750
648,450,1750
648,2219,450
790,1753,57
698,1753,1327
1753,698,2450
1753,1089,57
1753,2450,1089
2090,637,1327
1753,2090,1327
2090,1753,790
729,222,2451
222,729,806
729,1029,806
1029,2248,806
1029,729,1073
2090,1029,637
2248,1029,790
1029,2090,790
1010,806,466
2209,1010,466
1010,222,806
222,1010,2451
1492,2482,446
2486,2120,98
98,1886,1811
53,1886,466
1886,53,1811
2358,1624,941
1287,2358,941
2358,1287,2231
1624,2358,1772
2486,237,2231
2358,237,1772
237,2358,2231
237,1696,1772
1696,237,1811
237,2486,1811
1853,750,1950
1287,1853,1950
1009,2321,941
1397,1335,1587
1624,655,1009
655,1333,10
1009,655,10
655,1771,904
1771,1231,904
1696,1231,1772
1727,655,904
655,1727,1333
2694,2695,2174
553,2694,2174
2694,553,2693
1415,553,2174
517,553,1415
2697,2698,1882
539,517,1432
517,539,1397
2577,1951,2314
322,1433,2481
322,393,1433
322,1724,393
1724,322,2481
1976,2244,2337
765,809,2014
765,2397,1126
809,765,1126
2601,2602,2169
1885,1944,2169
1885,1124,1944
1124,2604,2605
1885,2604,1124
2595,25,1109
25,2595,2596
1868,658,2598
1868,2086,658
2599,1868,2598
1086,1868,2599
2469,1868,1086
2086,1868,2469
1349,780,2588
2589,1349,2588
1906,2591,2592
1182,1906,2592
2258,152,2590
152,2258,780
2344,1182,1985
2344,1906,1182
2591,137,2590
137,2258,2590
137,2344,2258
2593,1182,2592
573,841,1087
841,573,1109
1626,1650,1806
420,1626,1806
14,2369,2481
2397,2369,14
206,1197,261
1374,767,1509
767,1374,662
1374,1197,662
991,845,2014
473,2569,2570
1184,473,2570
473,1184,1211
