p1,p2,p3
838,71,301
71,1133,301
71,2561,2562
1133,71,2562
2559,1837,2558
2559,2356,1837
2553,339,2552
2552,339,1414
339,293,1414
339,2453,293
1324,2555,2556
203,457,2155
654,203,1835
457,203,654
2783,2782,1835
2782,815,1835
2782,2781,375
815,2782,375
1830,1058,948
1933,1830,948
1830,1933,2190
456,1351,417
456,2420,1094
1351,456,1094
1296,471,2420
2473,1296,2190
471,1296,2473
1747,447,588
1747,1434,447
1907,103,725
103,592,725
592,103,588
103,1907,2232
2497,570,948
2497,1907,570
1058,2497,948
1907,2497,1058
2178,2076,760
173,2178,760
2178,1434,2076
1434,2178,173
173,1157,1033
1157,1565,1644
1157,173,1565
2461,1015,1294
1015,2461,1155
1015,1895,1294
265,1015,1155
2453,923,293
923,1987,293
1987,923,2453
1987,482,69
482,1987,2453
482,1384,69
339,482,2453
994,90,2133
265,994,2133
1698,994,1155
994,265,1155
628,654,1358
628,781,654
1638,628,1358
681,1655,358
1655,1749,358
2027,2092,1867
2092,2027,1693
2027,613,1693
2027,2080,613
2080,2027,2091
2027,1655,2091
2755,735,2754
1083,2475,789
1083,789,1202
2769,1083,1202
2768,1083,2769
1518,2442,2353
2475,2442,1518
1890,2546,2547
2546,1890,623
263,2546,623
1139,1661,1665
1046,1661,1340
1661,1139,1340
711,448,1799
863,448,2241
1799,448,863
448,1669,2241
1669,448,711
2166,1329,1424
1329,2495,1424
1329,1651,2495
1651,1329,1064
1329,896,1064
1329,2166,896
224,711,1001
224,1669,711
224,1024,95
1024,224,1001
763,997,2495
1321,997,95
663,2252,1799
2252,663,1904
2418,1386,1088
785,2418,1088
2418,785,1386
2260,2279,905
2279,2231,905
2279,2260,951
2231,2279,951
2767,2768,2260
2538,2539,2765
2539,755,2765
755,2539,385
2055,2530,886
152,2530,2055
2202,1509,598
2202,1721,715
1509,2202,715
2276,1973,1665
1721,2276,1665
1783,1038,1643
1038,1783,250
1643,1038,1337
1038,1629,1337
2776,2777,1040
1553,2777,2776
2777,2778,1040
2777,1553,2070
2778,2777,2070
896,2132,1064
2409,2132,896
1566,2239,395
1498,1566,1797
2409,996,395
996,1566,395
1566,996,1797
1797,996,408
408,996,896
996,2409,896
318,1797,408
1498,318,125
318,1498,1797
2159,2357,2072
2357,709,2072
2357,2159,523
721,2118,1966
2166,1370,408
2118,1370,2166
721,1370,2118
1997,2059,2781
2059,436,2781
2496,432,1846
2496,2436,2241
2496,1846,2436
432,2496,2449
1651,2496,2241
2496,1651,2449
2399,405,2436
405,2399,1650
1846,2399,2436
1650,2399,1846
974,2214,2369
2214,974,1190
974,2369,688
2523,2522,5
2522,2523,2305
2524,2523,5
572,931,376
1958,281,1771
281,751,520
751,281,1958
1810,281,520
1810,2333,1771
281,1810,1771
1338,2021,1845
2021,1338,1979
1105,1338,597
302,1688,742
1688,1672,742
904,366,1632
366,904,1826
644,366,1826
1492,814,2000
1492,807,814
644,1492,2000
555,1492,644
118,1492,555
807,1492,118
807,1504,814
974,1547,1190
1547,974,2280
1308,1976,376
931,1308,376
2469,805,376
2469,354,805
1140,941,1253
2075,1906,622
1906,1140,622
984,2214,1190
2214,984,2004
984,1190,622
2004,984,805
1253,984,622
984,1253,805
1382,2004,805
1382,1213,2004
180,1382,805
1422,156,180
156,1382,180
1382,156,1213
156,1422,935
500,156,935
1213,156,500
238,1630,966
988,238,966
1630,238,1117
238,1220,1117
238,1422,1220
1422,238,1454
1268,988,1574
1268,776,2046
776,1268,1574
1542,2262,458
2450,646,2736
731,2217,2209
422,1146,2288
1560,422,2288
422,1560,1031
422,1031,600
901,2725,2726
2233,901,2317
2725,901,2233
669,1059,1884
669,1303,1059
1303,669,2233
1179,2372,2235
2372,1179,1843
2385,2235,21
1206,8,973
8,1150,973
2721,2722,717
717,2722,1884
669,2722,2723
2722,669,1884
427,2427,1862
2427,534,1862
2278,2427,427
2427,2103,534
2427,2278,1232
2103,2427,1232
2712,1558,2711
2712,2713,1558
1843,2104,1086
2104,1018,1086
2104,1179,932
1179,2104,1843
2137,2104,932
1018,2104,2137
406,540,2098
540,1493,2098
767,2709,2710
2709,406,2708
2709,767,1653
406,2709,1653
975,59,2139
1244,975,2139
975,2275,1252
2275,975,2705
975,1244,2705
406,975,1252
59,975,406
1834,59,2098
2108,593,1475
593,2108,1954
1224,230,2097
1558,1224,2097
2717,2371,2716
564,129,219
129,1206,219
2137,2153,1840
459,1794,932
1,1794,459
1794,2137,932
1794,2153,2137
1540,634,2467
1961,2199,2196
1659,542,1636
937,1659,1636
1932,902,97
1823,937,1636
343,1823,1636
971,1961,2196
1961,971,542
1032,971,2196
971,1032,2130
971,2130,63
1311,971,63
2359,2355,1188
2355,2359,1812
2355,1812,957
1346,2355,957
2355,1346,1521
487,1998,1731
1998,487,856
1802,487,1731
487,1802,856
1025,1005,1174
1327,1005,1025
701,287,1935
701,1590,555
287,701,555
2113,2665,2666
2837,2838,2664
1741,2837,2664
1217,1349,1959
2834,1187,2026
821,2852,1257
1645,92,155
92,944,1915
1645,944,92
944,1645,1153
1247,1460,1980
2183,1391,1267
2846,1391,2845
1391,2183,898
1460,1391,898
1391,1460,1247
372,970,1527
970,372,1538
836,372,1527
372,836,1538
970,1715,1527
2351,970,1538
2287,2476,2402
836,2476,1538
2476,2287,1538
2476,1200,2402
1200,2476,2189
1645,2673,1153
915,2421,2208
2421,915,1368
2862,2863,2208
280,2639,2640
1116,2110,741
1116,1609,295
1609,1116,741
1450,852,1482
2110,1450,1482
1623,1450,2110
1080,2855,2856
1080,2086,2855
852,1080,2856
1450,2218,852
2218,1450,1623
2218,1623,466
2857,852,2856
2857,1266,852
1266,2857,2858
882,900,840
882,2859,900
1266,882,840
882,1266,2858
2859,882,2858
2642,2643,1410
858,282,2064
749,700,1368
700,749,2101
749,1368,1270
2101,749,1270
2230,2101,2431
2230,700,2101
900,2230,2431
700,2230,900
1516,2635,672
488,2633,2634
1057,521,2489
2489,521,1182
2635,2636,672
704,2636,2637
2636,704,672
1205,1680,1920
1680,1205,605
1838,1440,2134
1967,1286,722
812,1967,722
1967,812,797
1479,1276,811
862,1276,2258
602,1023,2441
1744,2373,888
2816,1744,888
1571,1744,477
2373,1744,1571
2373,148,888
148,2373,1571
812,2814,888
2814,812,1314
980,1702,2492
1702,515,2492
515,1702,764
1229,515,764
1229,1722,1466
1722,1229,764
718,1229,1466
910,1869,1307
1769,2814,980
589,980,2492
2023,589,2492
418,2023,2492
1007,418,1196
418,2492,1196
1869,418,1007
1744,2817,477
2817,1744,2816
859,2819,2820
1412,274,1771
274,1412,1601
274,1958,1771
1593,1412,1771
2333,1593,1771
1708,1852,1461
1852,1708,2018
1852,512,1461
484,503,1935
904,484,1826
484,2393,1826
484,1935,2393
503,2454,1935
2443,2454,503
1708,1599,612
7,2841,1980
1460,7,1980
7,1460,898
2841,441,2840
441,2277,2840
7,441,2841
441,7,2300
2666,2667,115
441,2667,2666
2667,441,2300
692,513,2331
2843,2844,1247
1391,2844,2845
2844,1391,1247
2653,2306,2652
2653,633,2306
476,1691,1531
2306,1691,1091
1531,1691,2306
476,2649,2650
2649,476,374
891,692,2331
213,891,2331
891,213,2306
633,891,2306
891,633,1962
1531,41,2408
75,41,1531
41,75,1209
213,2423,1531
2423,75,1531
2423,213,2331
75,2423,2331
2062,282,2647
282,2062,374
2648,2062,2647
2062,2649,374
2649,2062,2648
2807,355,2808
2807,2806,257
591,355,1407
